id,title,genre,rating
54,Heartlands,Accion,9.9
66,My sassy girl,Accion,9.5
51,Robot carnival,Accion,9.4
29,Dirty work,Accion,9.1
56,Minions,Accion,9.0
85,Quicksilver highway,Accion,8.4
69,My favorite martian,Accion,8.3
14,Casshern,Accion,8.2
96,Way we laughed,Accion,7.9
34,Yonkers joe,Accion,7.5
17,Satans tango ,Accion,6.3
92,Silent house,Accion,6.2
18,Chu chin chow,Accion,6.2
71,Dr. jack,Accion,6.0
81,Carbon copy,Accion,5.3
43,At the earths core,Accion,5.0
19,Cannibal holocaust,Accion,4.3
88,200 mph,Accion,3.9
52,That touch of mink,Accion,2.4
3,Angry silence,Accion,2.0
79,Kanine,Accion,1.7
20,Boy meets boy,Accion,1.3
12,Romantic comedy,Comedia,10.0
67,Mystery science theater 3000,Comedia,9.7
10,The case of lucky legs,Comedia,9.4
2,Generals daughter,Comedia,9.4
21,Sgt kabukiman,Comedia,8.9
13,Fall from grace,Comedia,8.6
48,Taxi 4,Comedia,8.6
70,Pirates who dont do anything,Comedia,8.2
65,10 000 timmar,Comedia,7.5
86,Creepshow 2,Comedia,7.3
91,Take me out to the ball game,Comedia,6.6
45,Presidents man,Comedia,6.3
90,Cheech and chong,Comedia,6.2
57,Dragon ball z,Comedia,6.1
25,Kick ass,Comedia,6.0
78,Dark horse,Comedia,5.9
7,Who is john galt,Comedia,5.8
55,Divorcee,Comedia,5.8
5,Disneyland dream,Comedia,5.2
4,Day after trinity,Comedia,5.0
37,Designing woman,Comedia,4.8
77,Doubt,Comedia,4.8
53,47 ronin,Comedia,4.4
24,Tic code,Comedia,4.3
87,Je appelle elisabeth,Comedia,4.1
26,In the cut,Comedia,3.2
9,The man from the alamo,Comedia,3.1
27,Telefon,Comedia,2.8
64,Ugly truth,Comedia,2.8
42,Experiment in terror,Comedia,2.0
30,Sometimes they come back,Comedia,1.3
62,Dawn rider,Drama,9.0
33,The snow white murder case,Drama,8.8
100,You kill me,Drama,8.7
93,Ordinary decent criminal,Drama,8.4
28,The coven,Drama,7.6
1,Docks of new york,Drama,6.6
95,Cloverfield,Drama,6.5
63,Invaders from mars,Drama,6.4
36,Questioning darwin,Drama,6.2
99,Jimmy rosenberg,Drama,5.9
80,Surfs up,Drama,5.8
47,Raiders of the lost ark,Drama,5.1
32,Chance of a lifetime,Drama,4.5
72,5 deadly venoms,Drama,3.4
83,Dodge city,Drama,3.1
94,Eerie tales,Drama,2.8
89,Phantom,Drama,2.7
6,Eenfance naked childhood,Drama,2.7
49,Horrible bosses 2,Drama,2.0
39,Bone collector,Drama,2.0
73,Deep rising,Drama,1.9
11,Musketeer,Drama,1.7
60,Flying down to rio,Drama,1.3
58,Link,Terror,9.8
61,Wednesday,Terror,9.6
68,Mountaintop motel massacre,Terror,9.2
41,Brute the bruto,Terror,9.2
76,North to alaska,Terror,9.0
31,Floundering,Terror,8.6
23,American winter,Terror,8.2
84,Greatest show on earth,Terror,8.2
82,Rogue cop,Terror,8.1
35,With love,Terror,7.5
50,Jill the ripper,Terror,6.9
46,36 quai des orfevres,Terror,6.9
44,Summer in berlin,Terror,6.7
40,Saturday night fever,Terror,5.3
16,North face,Terror,5.1
74,In america,Terror,4.9
38,Battlestar galactica,Terror,4.6
98,Best defense,Terror,4.0
15,Dragonquest,Terror,3.7
8,How to survive a plague,Terror,3.5
97,Vie en rose,Terror,3.1
75,Big mommas like father,Terror,2.0
59,1969,Terror,1.7
22,Naked in new york,Terror,1.3
